Order,PID,MS SubClass,MS Zoning,Lot Frontage,Lot Area,Alley,Lot Shape,Land Contour,Utilities,Lot Config,Land Slope,Neighborhood,Condition 1,Condition 2,Bldg Type,House Style,Overall Qual,Overall Cond,Year Built,Year Remod/Add,Roof Style,Roof Matl,Exterior 1st,Exterior 2nd,Mas Vnr Type,Mas Vnr Area,Exter Qual,Exter Cond,Foundation,Bsmt Qual,Bsmt Cond,Bsmt Exposure,BsmtFin Type 1,BsmtFin SF 1,BsmtFin Type 2,BsmtFin SF 2,Bsmt Unf SF,Total Bsmt SF,Heating,Heating QC,Electrical,1st Flr SF,2nd Flr SF,Low Qual Fin SF,Gr Liv Area,Bsmt Full Bath,Bsmt Half Bath,Full Bath,Half Bath,Bedroom AbvGr,Kitchen AbvGr,Kitchen Qual,TotRms AbvGrd,Functional,Fireplaces,Fireplace Qu,Garage Type,Garage Yr Blt,Garage Finish,Garage Cars,Garage Area,Garage Qual,Garage Cond,Paved Drive,Wood Deck SF,Open Porch SF,Enclosed Porch,3Ssn Porch,Screen Porch,Pool Area,Pool QC,Fence,Misc Feature,Misc Val,Mo Sold,Yr Sold,Sale Type,Sale Condition,SalePrice,House_Age,Street_Pave,Central Air_Y,SalePrice_Log,Target
2046,904101070,50,RL,138.0,0.931768179465279,None,IR1,Bnk,AllPub,Inside,Gtl,ClearCr,Norm,Norm,1Fam,1.5Fin,5,6,1946,1994,Gable,CompShg,MetalSd,MetalSd,None,0.0,3,TA,CBlock,TA,TA,No,Rec,152.0,BLQ,469.0,977.0,1598.0,GasA,TA,SBrkr,1636,971,479,3.0853157564738707,0.0,0.0,3,0,3,1,Ex,12,Maj1,1,Gd,None,0.0,None,0.0,0.0,None,None,Y,122,0,0,0,0,0,None,MnPrv,None,0,3,2007,WD ,Normal,200500,61,1,1,12.208574513247495,1
822,906340130,20,RL,65.0,0.07550256774459646,None,IR1,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,1Story,9,5,2008,2008,Gable,CompShg,VinylSd,VinylSd,Stone,364.0,5,TA,PConc,Ex,TA,Gd,GLQ,1104.0,Unf,0.0,616.0,1720.0,GasA,Ex,SBrkr,1720,0,0,0.43194896018515944,1.0,0.0,2,0,3,1,Ex,8,Typ,1,Gd,Attchd,2008.0,RFn,3.0,846.0,TA,TA,Y,208,104,0,0,0,0,None,None,None,0,11,2009,WD ,Normal,332000,1,1,1,12.712893259942282,1
344,526355080,80,RL,75.0,0.4368100978357744,None,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,SLvl,8,7,1972,1995,Gable,CompShg,Plywood,Wd Sdng,None,0.0,4,TA,CBlock,Gd,TA,Gd,GLQ,1410.0,Unf,0.0,542.0,1952.0,GasA,Gd,SBrkr,2000,704,0,2.343305422519048,1.0,0.0,2,1,4,1,Ex,9,Typ,3,TA,Attchd,1972.0,Fin,2.0,538.0,TA,TA,Y,269,111,0,0,0,0,None,MnPrv,None,0,7,2009,WD ,Normal,345000,37,1,1,12.75130259456002,1
2891,914476500,90,RL,82.0,0.10565109358006268,None,Reg,Lvl,AllPub,Inside,Gtl,Mitchel,Norm,Norm,Duplex,1Story,7,5,1988,1989,Gable,CompShg,VinylSd,VinylSd,BrkFace,70.0,3,TA,CBlock,TA,TA,No,Unf,0.0,Unf,0.0,1907.0,1907.0,GasA,Gd,SBrkr,1959,0,0,0.8961910277642239,0.0,0.0,3,0,5,2,TA,9,Typ,0,None,2Types,1989.0,Unf,3.0,766.0,TA,TA,Y,0,0,0,0,0,0,None,None,None,0,7,2006,WD ,Family,171000,18,1,1,12.049424683420915,1
2316,527107240,60,RL,70.0,0.12191230633383777,None,IR1,HLS,AllPub,FR2,Gtl,Gilbert,Norm,Norm,1Fam,2Story,6,5,1997,1997,Gable,CompShg,VinylSd,VinylSd,None,0.0,3,TA,PConc,Gd,TA,Av,GLQ,714.0,Unf,0.0,88.0,802.0,GasA,Gd,SBrkr,802,709,0,0.02597995548212818,1.0,0.0,2,1,3,1,TA,8,Typ,1,TA,Attchd,1997.0,Fin,2.0,413.0,TA,TA,Y,95,75,0,0,0,0,None,None,None,0,6,2006,WD ,Normal,185000,9,1,1,12.128116509451258,1
1456,907253060,60,RL,68.0,0.01615507594249758,None,IR1,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,2Story,7,5,2000,2000,Gable,CompShg,VinylSd,VinylSd,None,0.0,4,TA,PConc,Gd,TA,No,GLQ,735.0,Unf,0.0,257.0,992.0,GasA,Ex,SBrkr,992,873,0,0.7136020974193199,1.0,0.0,2,1,3,1,Gd,7,Typ,1,TA,Attchd,2000.0,RFn,3.0,839.0,TA,TA,Y,0,184,0,0,0,0,None,None,None,0,6,2008,WD ,Normal,235000,8,1,1,12.367345048436391,1
2430,528228580,120,RL,53.0,-0.7281811662394265,None,Reg,Lvl,AllPub,Inside,Gtl,Blmngtn,Norm,Norm,TwnhsE,1Story,7,5,2006,2006,Hip,CompShg,VinylSd,VinylSd,BrkFace,45.0,4,TA,PConc,Gd,TA,Av,GLQ,1070.0,Unf,0.0,286.0,1356.0,GasA,Ex,SBrkr,1500,0,0,0.004613165760916008,1.0,0.0,2,0,2,1,Gd,6,Typ,1,Gd,Attchd,2006.0,Fin,3.0,648.0,TA,TA,Y,161,20,0,0,0,0,None,None,None,0,10,2006,New,Partial,246578,0,1,1,12.415437707935368,1
1729,528218020,60,RL,65.0,0.006778172237765958,None,Reg,Lvl,AllPub,Inside,Gtl,Gilbert,RRAn,Norm,1Fam,2Story,6,5,2005,2006,Gable,CompShg,VinylSd,VinylSd,None,0.0,4,TA,PConc,Gd,TA,No,Unf,0.0,Unf,0.0,768.0,768.0,GasA,Ex,SBrkr,768,768,0,0.07454084121215585,0.0,0.0,2,1,3,1,Gd,6,Typ,1,Gd,Attchd,2005.0,Fin,2.0,400.0,TA,TA,Y,100,38,0,0,0,0,None,None,None,0,6,2007,WD ,Normal,176000,2,1,1,12.07824495582233,1
2338,527226010,60,RL,68.0,0.5438729730467607,None,IR2,Lvl,AllPub,Corner,Gtl,Gilbert,Feedr,Norm,1Fam,2Story,5,6,1948,1950,Gable,CompShg,Plywood,Plywood,None,0.0,3,TA,Slab,None,None,None,None,0.0,None,0.0,0.0,0.0,GasA,Gd,SBrkr,1547,720,53,1.5974102177058234,0.0,0.0,2,0,2,1,TA,7,Typ,1,TA,Attchd,1979.0,Unf,2.0,672.0,TA,TA,P,120,144,0,0,0,0,None,None,None,0,5,2006,WD ,Normal,169000,58,1,1,12.037659911047468,1
950,914474070,60,RL,71.0,0.2408446799052439,None,IR1,Lvl,AllPub,CulDSac,Gtl,Mitchel,Norm,Norm,1Fam,2Story,6,5,2001,2002,Gable,CompShg,VinylSd,VinylSd,None,0.0,3,TA,PConc,Ex,TA,No,ALQ,690.0,Unf,0.0,114.0,804.0,GasA,Ex,SBrkr,804,1157,0,0.900075898622626,1.0,0.0,2,1,3,1,Gd,7,Typ,1,TA,BuiltIn,2001.0,Fin,2.0,560.0,TA,TA,Y,125,192,0,0,0,0,None,None,None,0,6,2009,WD ,Normal,215000,8,1,1,12.278397958261774,1
1534,909277040,50,RL,68.0,0.18042893325070727,Grvl,IR1,HLS,AllPub,Inside,Mod,Crawfor,Norm,Norm,1Fam,1.5Fin,5,6,1937,1995,Gable,CompShg,WdShing,Wd Shng,None,0.0,3,TA,CBlock,TA,TA,No,BLQ,606.0,Unf,0.0,336.0,942.0,GasA,Ex,SBrkr,1265,673,0,0.8553998837510006,0.0,0.0,2,0,4,1,Gd,7,Min2,1,Gd,Detchd,1937.0,Unf,1.0,240.0,TA,TA,Y,0,40,0,0,0,0,None,None,None,0,7,2008,WD ,Normal,198000,71,1,1,12.19602736016897,1
1865,534127080,60,RL,80.0,-0.2587425060848244,None,Reg,Lvl,AllPub,Inside,Gtl,NWAmes,PosA,Norm,1Fam,2Story,6,6,1970,1970,Gable,CompShg,VinylSd,VinylSd,BrkFace,525.0,3,TA,CBlock,TA,TA,No,Rec,915.0,Unf,0.0,93.0,1008.0,GasA,TA,SBrkr,1403,1008,0,1.774171841763124,1.0,0.0,2,1,4,1,TA,8,Typ,1,Po,Attchd,1970.0,RFn,2.0,570.0,TA,TA,Y,0,192,0,0,0,0,None,None,None,0,6,2007,WD ,Normal,240050,37,1,1,12.388606679749202,1
361,527164060,60,RL,68.0,-0.06455751290835689,None,IR1,Lvl,AllPub,Corner,Gtl,Gilbert,Norm,Norm,1Fam,2Story,6,5,1992,1993,Gable,CompShg,VinylSd,VinylSd,None,0.0,3,TA,PConc,Gd,TA,No,Unf,0.0,Unf,0.0,808.0,808.0,GasA,Gd,SBrkr,808,785,0,0.18525966067661892,0.0,0.0,2,1,3,1,TA,7,Typ,1,TA,BuiltIn,1993.0,RFn,2.0,389.0,TA,TA,Y,342,40,0,0,0,0,None,MnPrv,None,0,12,2009,WD ,Normal,178000,17,1,1,12.08954444723597,1
1728,528218010,60,RL,59.0,0.66826531586396,None,IR1,Lvl,AllPub,Inside,Gtl,Gilbert,RRAn,Norm,1Fam,2Story,6,5,2007,2007,Gable,CompShg,VinylSd,VinylSd,None,0.0,4,TA,CBlock,Gd,TA,No,Unf,0.0,Unf,0.0,768.0,768.0,GasA,Ex,SBrkr,768,728,0,-0.003156575955888418,0.0,0.0,3,0,3,1,Gd,7,Typ,0,None,Attchd,2007.0,Unf,2.0,572.0,TA,TA,Y,100,0,0,0,0,0,None,None,None,0,5,2007,New,Partial,181755,0,1,1,12.110420407230512,1
1,526301100,20,RL,141.0,2.562637254186956,None,IR1,Lvl,AllPub,Corner,Gtl,NAmes,Norm,Norm,1Fam,1Story,6,5,1960,1960,Hip,CompShg,BrkFace,Plywood,Stone,112.0,3,TA,CBlock,TA,Gd,Gd,BLQ,639.0,Unf,0.0,441.0,1080.0,GasA,Fa,SBrkr,1656,0,0,0.30763309271628864,1.0,0.0,1,0,3,1,TA,7,Typ,2,Gd,Attchd,1960.0,Fin,2.0,528.0,TA,TA,P,210,62,0,0,0,0,None,None,None,0,5,2010,WD ,Normal,215000,50,1,1,12.278397958261774,1
1174,533217060,160,FV,24.0,-0.9519212103333393,Pave,Reg,Lvl,AllPub,Inside,Gtl,Somerst,Norm,Norm,Twnhs,SLvl,7,5,1999,2000,Gable,CompShg,VinylSd,VinylSd,BrkFace,216.0,4,TA,PConc,Gd,TA,No,GLQ,600.0,Unf,0.0,72.0,672.0,GasA,Ex,SBrkr,684,720,0,-0.18186063544239023,1.0,0.0,2,1,3,1,Gd,5,Typ,0,None,Detchd,1999.0,Unf,2.0,462.0,TA,TA,Y,20,0,0,0,0,0,None,None,None,0,6,2008,WD ,Normal,170000,9,1,1,12.04355959836804,1
345,527105070,60,RL,88.0,-0.00010613681127751133,None,IR1,Lvl,AllPub,Corner,Gtl,Gilbert,Norm,Norm,1Fam,2Story,6,5,1997,1997,Gable,CompShg,VinylSd,VinylSd,None,0.0,3,TA,PConc,Gd,TA,No,ALQ,847.0,Unf,0.0,98.0,945.0,GasA,Ex,SBrkr,945,663,0,0.2143961921146355,0.0,0.0,2,1,3,1,TA,7,Typ,1,TA,Attchd,1997.0,Fin,2.0,470.0,TA,TA,Y,252,30,0,0,0,0,None,None,None,0,7,2009,WD ,Normal,189500,12,1,1,12.15214958053555,1
840,907131190,20,RL,65.0,0.542804718194323,None,IR2,Low,AllPub,Inside,Gtl,CollgCr,PosN,Norm,1Fam,1Story,7,5,1998,1998,Gable,CompShg,VinylSd,VinylSd,None,0.0,3,TA,PConc,Gd,TA,Mn,GLQ,950.0,Unf,0.0,513.0,1463.0,GasA,Ex,SBrkr,1463,0,0,-0.06725694511952493,1.0,0.0,2,0,3,1,TA,5,Typ,0,None,Attchd,1998.0,Fin,2.0,539.0,TA,TA,Y,0,81,0,0,0,0,None,GdPrv,None,0,12,2009,WD ,Normal,207000,11,1,1,12.240478903153711,1
2260,916384050,20,RL,67.0,-0.21506275211847964,None,IR1,HLS,AllPub,Inside,Gtl,Timber,Norm,Norm,1Fam,1Story,7,5,2006,2007,Gable,CompShg,VinylSd,VinylSd,None,0.0,4,TA,PConc,Gd,TA,No,Unf,0.0,Unf,0.0,1689.0,1689.0,GasA,Ex,SBrkr,1689,0,0,0.3717334618799251,0.0,0.0,2,0,3,1,Gd,7,Typ,0,None,Attchd,2007.0,Fin,2.0,433.0,TA,TA,Y,100,39,0,0,0,0,None,None,None,0,4,2007,New,Partial,231713,1,1,1,12.353259131555799,1
1616,527105140,60,RL,68.0,0.2628032518720205,None,IR1,Lvl,AllPub,Corner,Gtl,Gilbert,Norm,Norm,1Fam,2Story,7,5,2003,2003,Gable,CompShg,VinylSd,VinylSd,None,0.0,4,TA,PConc,Gd,TA,Gd,Unf,0.0,Unf,0.0,847.0,847.0,GasA,Ex,SBrkr,847,886,0,0.4572006207647738,0.0,0.0,2,1,3,1,Gd,7,Typ,1,Gd,BuiltIn,2003.0,Fin,2.0,433.0,TA,TA,Y,100,48,0,0,0,0,None,None,None,0,10,2007,WD ,Family,225000,4,1,1,12.323860125621126,1
2130,907187060,60,RL,43.0,0.2578180625606442,None,IR2,Lvl,AllPub,CulDSac,Gtl,CollgCr,Norm,Norm,1Fam,2Story,7,5,1998,1999,Gable,CompShg,VinylSd,VinylSd,BrkFace,290.0,4,TA,PConc,Gd,TA,No,GLQ,638.0,Unf,0.0,215.0,853.0,GasA,Ex,SBrkr,853,900,0,0.496049329348796,1.0,0.0,2,1,3,1,TA,7,Typ,1,Fa,Attchd,1998.0,RFn,2.0,534.0,TA,TA,Y,0,74,0,0,0,0,None,None,None,0,3,2007,WD ,Normal,217000,9,1,1,12.28765724080691,1
1028,527357180,60,RL,68.0,0.27669056495371164,None,IR1,Lvl,AllPub,Corner,Gtl,NWAmes,Norm,Norm,1Fam,2Story,7,7,1978,1978,Mansard,WdShake,Plywood,Plywood,BrkFace,168.0,4,TA,PConc,Gd,TA,No,ALQ,988.0,Unf,0.0,432.0,1420.0,GasA,Ex,SBrkr,1420,1420,0,2.6074766408903987,0.0,1.0,2,1,4,1,Gd,8,Min2,2,Gd,Attchd,1978.0,Fin,4.0,1314.0,TA,Gd,Y,0,16,0,0,208,0,None,MnPrv,None,0,12,2008,WD ,Normal,292500,30,1,1,12.586223364451623,1
1767,528348030,60,RL,83.0,0.07241649817088731,None,Reg,Lvl,AllPub,Inside,Gtl,NoRidge,Norm,Norm,1Fam,2Story,7,5,1998,1998,Gable,CompShg,VinylSd,VinylSd,BrkFace,275.0,4,TA,PConc,Gd,TA,No,Unf,0.0,Unf,0.0,1066.0,1066.0,GasA,Ex,SBrkr,1108,1277,0,1.7236685206038953,0.0,0.0,2,1,4,1,Gd,8,Typ,1,TA,BuiltIn,1998.0,Fin,3.0,600.0,TA,TA,Y,120,38,0,0,0,0,None,None,None,0,5,2007,WD ,Normal,252000,9,1,1,12.437188334739655,1
193,903206120,75,RL,68.0,-0.28331236769089335,None,IR1,Bnk,AllPub,Corner,Gtl,BrkSide,Norm,Norm,1Fam,2.5Unf,7,7,1922,2005,Gable,CompShg,Wd Sdng,Wd Sdng,None,0.0,3,TA,BrkTil,Gd,TA,No,BLQ,474.0,Unf,0.0,634.0,1108.0,GasA,TA,FuseA,1160,908,0,1.1079164895471445,0.0,0.0,1,1,3,1,Gd,8,Typ,1,Gd,Detchd,1928.0,Unf,1.0,315.0,TA,TA,Y,0,0,60,0,0,0,None,None,None,0,5,2010,WD ,Normal,209500,88,1,0,12.252483791602627,1
